countType,count,recentRound,recentDate,no1,no2,no3,no4
2,8,1211,20260214,35,40,,
2,8,1013,20220430,36,41,,
2,8,1112,20240323,36,44,,
2,8,1145,20241109,37,44,,
2,8,1079,20230805,37,45,,
2,8,1196,20251101,40,45,,
2,7,1153,20250104,1,10,,
2,7,1173,20250524,1,18,,
2,7,1135,20240831,1,19,,
2,7,1153,20250104,1,44,,
2,7,1151,20241221,2,9,,
2,7,1131,20240803,2,14,,
2,7,1071,20230610,2,21,,
2,7,1209,20260131,2,35,,
2,7,1039,20221029,2,36,,
2,7,1131,20240803,2,38,,
2,7,1161,20250301,2,42,,
2,7,1179,20250705,3,40,,
2,7,1126,20240629,4,5,,
2,7,1085,20230916,4,7,,
2,7,990,20211120,4,25,,
2,7,1205,20260103,4,31,,
2,7,1068,20230520,4,35,,
2,7,1222,20260502,4,41,,
2,7,1085,20230916,4,44,,
2,7,1128,20240713,5,16,,
2,7,1212,20260221,5,31,,
2,7,1212,20260221,5,41,,
2,7,1193,20251011,6,24,,
2,7,1125,20240622,6,25,,
2,7,1094,20231118,6,26,,
2,7,1135,20240831,6,33,,
2,7,1165,20250329,6,45,,
2,7,1217,20260328,8,10,,
2,7,1174,20250531,8,11,,
2,7,1175,20250607,8,32,,
2,7,1210,20260207,9,17,,
2,7,1025,20220723,9,25,,
2,7,1190,20250920,9,26,,
2,7,1210,20260207,9,27,,
2,7,1189,20250913,9,29,,
2,7,1035,20221001,9,34,,
2,7,1035,20221001,9,41,,
2,7,858,20190511,9,43,,
2,7,1129,20240720,10,11,,
2,7,956,20210327,10,21,,
2,7,1216,20260321,10,23,,
2,7,1059,20230318,10,25,,
2,7,1192,20251004,10,39,,
2,7,1118,20240504,11,13,,
2,7,1188,20250906,12,22,,
2,7,1188,20250906,12,27,,
2,7,1138,20240921,14,19,,
2,7,1118,20240504,14,45,,
2,7,1217,20260328,15,20,,
2,7,1083,20230902,15,38,,
2,7,1016,20220521,15,42,,
2,7,1143,20241026,16,17,,
2,7,1221,20260425,18,36,,
2,7,1189,20250913,19,29,,
2,7,1120,20240518,19,31,,
2,7,1189,20250913,19,35,,
2,7,1162,20250308,20,21,,
2,7,1161,20250301,20,24,,
2,7,1162,20250308,20,25,,
2,7,1217,20260328,20,29,,
